id,drcog_id,latitude,longitude,crashdate,crashtime,city,countyname,agencyid,agencydetl,agencycode,crashtype,drcogctype,numbkilled,numbinjurd,privpropty,publicland,totlnmtrst,secndcrash,constrzone,schoolzone,onroad,rfintsctrd,drcoglocat,intofstdis,intfstdisu,intofstdir,milepoint,highwaynam,intsthghwy,statehwy,othrroadwy,mioffstdis,miofstdisu,mioffstdir,location,lnposition,harmevscd1,harmevscd2,harmevscd3,harmevscd4,harmevsmst,roadcntgrd,roaddescrp,apovrtktrn,lightngcon,rdconditin,weatherco1,weatherco2,highwaynum,numlnsblkd,rdcntrcurv,ttlvehicle,wildanimal,crashformv,city_street,rrcrossing,roadsurfac,roadcontur,drcog_hp,drcogsvrty,drcogttlpi,drcogttlmi,drcogttlsi,drcogttlk,drcogocc,drcogoccpi,drcogoccmi,drcogoccsi,drcogoccki,drcognm,drcognmpi,drcognmmi,drcognmsi,drcognmk,drcog_vru,drcogmodes,drcogsctr,drcogmoto,drcogped,drcogbike,drcogvehcl,TU1_vmov,TU1_dir,TU1_dacts,TU1_cfacts,TU1_rspeed,TUx_vmov,TUx_dir,TUx_dacts,TUx_cfacts,nm_dir,nm_actions,nm_cfacts,drcogcheck,cdot_flag,drcog_flag,Quarter,day_of_week,hour
6666,2020-03651,39.78373,-104.76114,2020-07-26,2026-04-19 19:36:00,DENVER,DENVER,DPD,2/542E, ,All Other Pedestrians,Pedestrian,0,1,0,0,0.0,0,0,0,FLANDERS WAY NORTH,GREEN VALLEY RANCH BOULEVARD EAST,FLANDERS WAY NORTH & GREEN VALLEY RANCH BOULEVARD EAST,0.0,At the intersection, ,0.0, ,0,0,0,0.0, , ,On-roadway, ,Collision with Non-Motorist:Pedestrian, , , ,Collision with Non-Motorist:Pedestrian, ,At Intersection,Not Applicable,Dawn or Dusk,Dry,Clear, , ,0, ,1.0, ,DR2447,GVRBL, ,Blacktop (Bituminous),Straight On-Level,1.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Y,Motorvehicle; Scooter,Y,, , ,1.0,,,,,,Going straight,East,No contributing action,No apparent contributing factor,East,No contributing action,No apparent contributing factor,0.0,Y, ,3,Sunday,19
6922,2020-03786,39.75855,-104.98534,2020-07-18,2026-04-19 23:31:00,DENVER,DENVER,DPD,3/251B,1,Rear-End,Rear-end,0,1,0,0,0.0,0,0,0,LARIMER STREET,26TH STREET,LARIMER STREET & 26TH STREET,150.0,Feet,S,0.0, ,0,0,0,0.0, , ,On-roadway, ,Collision with Motor Vehicle in Transport:Front to Rear, , , ,Collision with Motor Vehicle in Transport:Front to Rear, ,Non-intersection,Not Applicable,Dark-Lighted,Dry,Clear, , ,0, ,2.0, ,DR2447,26THS, ,Blacktop (Bituminous),Straight On-Level,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Y,Motorvehicle; Scooter,Y,, , ,1.0,Going straight,South,Careless driving,Aggressive driving,30.0,,,,,South,No contributing action,No apparent contributing factor,0.0,Y, ,3,Saturday,23
7349,2020-04056,39.74006,-104.98614,2020-08-05,2026-04-19 16:31:00,DENVER,DENVER,DPD,2/631S, ,All Other Pedestrians,Pedestrian,0,0,0,0,0.0,0,0,0,COLFAX AVENUE EAST,LINCOLN STREET NORTH,COLFAX AVENUE EAST & LINCOLN STREET NORTH,0.0,At the intersection, ,298.0, ,0,1,0,0.0, , ,On-roadway, ,Collision with Non-Motorist:Pedestrian, , , ,Collision with Non-Motorist:Pedestrian, ,At Intersection,Not Applicable,Daylight,Dry,Clear, ,40,0, ,2.0, ,DR2447, , ,Blacktop (Bituminous),Straight On-Level,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Y,Motorvehicle; Motorcycle; Scooter,Y,Y, , ,2.0,Going straight,West,Unknown,Unknown,30.0,Going straight,West,No contributing action,No apparent contributing factor,West,"Failure to obey traffic signs, signals, or officer",Unknown,0.0,Y, ,3,Wednesday,16
7920,2020-04419,39.65407,-104.91292,2020-08-02,2026-04-19 17:36:00,DENVER,DENVER,DPD,2/344A, ,All Other Pedestrians,Pedestrian,0,0,0,0,0.0,0,0,0,MONACO STREET SOUTH,GIRARD AVENUE EAST,MONACO STREET SOUTH & GIRARD AVENUE EAST,0.0,At the intersection, ,0.0, ,0,0,0,0.0, , ,On-roadway, ,Collision with Non-Motorist:Pedestrian, , , ,Collision with Non-Motorist:Pedestrian, ,At Intersection,Not Applicable,Daylight,Dry,Clear, , ,0, ,2.0, ,DR2447,GIRAR, ,Blacktop (Bituminous),Straight On-Level,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Y,Motorvehicle; Scooter,Y,, , ,1.0,,,,,,Making right turn,Southeast,No contributing action,,Southeast,Cross/enter not at intersection,No apparent contributing factor,0.0,Y, ,3,Sunday,17
13860,2020-07448,39.78379,-104.79797,2020-08-19,2026-04-19 15:34:00,DENVER,DENVER,DPD,2/542S, ,All Other Pedestrians,Pedestrian,0,0,0,0,0.0,0,0,0,GREEN VALLEY RANCH BOULEVARD EAST,MEMPHIS STREET NORTH,GREEN VALLEY RANCH BOULEVARD EAST & MEMPHIS STREET NORTH,0.0,At the intersection, ,0.0, ,0,0,0,0.0, , ,On-roadway, ,Collision with Non-Motorist:Pedestrian, , , ,Collision with Non-Motorist:Pedestrian, ,At Intersection,Not Applicable,Daylight,Dry,Clear, , ,0, ,1.0, ,DR2447,MEMPH, ,Blacktop (Bituminous),Straight On-Level,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Y,Motorvehicle; Scooter,Y,, , ,1.0,Making right turn,Northwest,No contributing action,No apparent contributing factor,40.0,,,,,East,No contributing action,No apparent contributing factor,0.0,Y, ,3,Wednesday,15
13983,2020-07516,39.73688,-104.97301,2020-08-26,2026-04-19 19:30:00,DENVER,DENVER,DPD,3/261A,1,All Other Pedestrians,Pedestrian,0,1,0,0,0.0,0,0,0,DOWNING STREET NORTH,13TH AVENUE EAST,DOWNING STREET NORTH & 13TH AVENUE EAST,25.0,Feet,N,0.0, ,0,0,0,0.0, , ,On-roadway, ,Collision with Non-Motorist:Pedestrian, , , ,Collision with Non-Motorist:Pedestrian, ,Intersection Related,Not Applicable,Daylight,Dry,Clear, , ,0, ,2.0, ,DR2447,13THA, ,Blacktop (Bituminous),Straight On-Level,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Y,Motorvehicle; Scooter,Y,, , ,1.0,Making right turn,Northwest,Failed to yield row,Unknown,30.0,,,,,North,No contributing action,Unknown,0.0,Y, ,3,Wednesday,19
14802,2020-08067,39.74506,-104.98741,2020-08-16,2026-04-19 12:50:00,DENVER,DENVER,DPD,1/CRT64, ,All Other Pedestrians,Pedestrian,0,2,0,0,0.0,0,0,0,18TH STREET,BROADWAY STREET NORTH,18TH STREET & BROADWAY STREET NORTH,0.0,At the intersection, ,0.0, ,0,0,0,0.0, , ,On-roadway, ,Collision with Non-Motorist:Pedestrian,Collision with Non-Motorist:Pedestrian, , ,Collision with Non-Motorist:Pedestrian, ,At Intersection,Not Applicable,Daylight,Dry,Clear, , ,0, ,1.0, ,DR2447,BROAD, ,Concrete,Straight On-Level,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,Y,Motorvehicle; Pedestrian; Scooter,Y,, , ,1.0,,,,,,Going straight,West,No contributing action,No apparent contributing factor,West; West,"In roadway improperly (standing, lying, working, playing); In roadway improperly (standing, lying, working, playing)",Aggressive; Aggressive,0.0,Y, ,3,Sunday,12
16481,2020-09082,39.73843153,-104.97990041,2020-08-27,2026-04-19 15:17:00,DENVER,DENVER,DPD,2, ,All Other Pedestrians,Pedestrian,0,0,0,0,0.0,0,0,0,PEARL STREET NORTH,14TH AVENUE EAST,PEARL STREET NORTH & 14TH AVENUE EAST,5.0,Feet,N,0.0, ,0,0,0,0.0, , ,On-roadway, ,Collision with Non-Motorist:Pedestrian, , , ,Collision with Non-Motorist:Pedestrian, ,At Intersection,Not Applicable,Daylight,Dry,Clear, , ,0, ,2.0, ,DR2447,14THA, ,Blacktop (Bituminous),Straight On-Level,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Y,Motorvehicle; Scooter,Y,, , ,1.0,,,,,,Going straight,East,No contributing action,No apparent contributing factor,East,Cross/enter not at intersection,Illness/medical,1.0, ,Y,3,Thursday,15
40527,2020-22501,39.73386,-104.98741,2020-11-12,2026-04-19 18:20:00,DENVER,DENVER,DPD,2/631B,1,Pedestrian,Pedestrian,0,0,0,0,0.0,0,0,0,11TH AVENUE WEST,BROADWAY STREET NORTH,11TH AVENUE WEST & BROADWAY STREET NORTH,0.0,At the intersection, ,0.0, ,0,0,0,0.0, , ,On-roadway, ,Collision with Non-Motorist:Pedestrian, , , ,Collision with Non-Motorist:Pedestrian, ,At Intersection,Not Applicable,Dark-Lighted,Dry,Clear, , ,0, ,1.0, ,DR2447,BROAD, ,Blacktop (Bituminous),Straight On-Level,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Y,Motorvehicle; Scooter,Y,, , ,1.0,Going straight,East,Lane violation,Aggressive driving,25.0,,,,,East,Other,Unknown,0.0,Y, ,4,Thursday,18
46407,2021-00926,39.75774353,-104.99856991,2021-01-05,2026-04-19 18:30:00,DENVER,DENVER,DPD,2/632E, ,Pedestrian,Pedestrian,0,1,0,0,0.0,0,0,0,20TH ST,CHESTNUT PL,20TH ST & CHESTNUT PL,0.0,At the intersection, ,0.0, ,0,0,0,0.0,, ,On-roadway, ,Collision with Non-Motorist:Pedestrian,,,,Collision with Non-Motorist:Pedestrian,,At Intersection,Not Applicable,Dark-Lighted,Dry,Clear,, ,0,,2.0,,DR2447,CHEST, ,Blacktop (Bituminous),Straight On-Level,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Y,Motorvehicle; Scooter,Y, , , ,1.0,,,,,,Going straight,North,No contributing action,No apparent contributing factor,North,Cross/enter at intersection,Unknown,1.0,Y, ,1,Tuesday,18
