date,trips,crashdate,hour,num_crashes,year,month,day,day_of_week,quarter
2020-01-01,3000,0,0,0.0,2020,1,1,Wednesday,1
2020-01-02,3500,0,0,0.0,2020,1,2,Thursday,1
2020-01-03,4400,0,0,0.0,2020,1,3,Friday,1
2020-01-04,5800,0,0,0.0,2020,1,4,Saturday,1
2020-01-05,3200,0,0,0.0,2020,1,5,Sunday,1
2020-01-06,3300,0,0,0.0,2020,1,6,Monday,1
2020-01-07,4200,0,0,0.0,2020,1,7,Tuesday,1
2020-01-08,4600,0,0,0.0,2020,1,8,Wednesday,1
2020-01-09,4600,0,0,0.0,2020,1,9,Thursday,1
2020-01-10,4400,0,0,0.0,2020,1,10,Friday,1
2020-01-11,5200,0,0,0.0,2020,1,11,Saturday,1
2020-01-12,4600,0,0,0.0,2020,1,12,Sunday,1
2020-01-13,3500,0,0,0.0,2020,1,13,Monday,1
2020-01-14,4600,0,0,0.0,2020,1,14,Tuesday,1
2020-01-15,4100,0,0,0.0,2020,1,15,Wednesday,1
2020-01-16,4200,0,0,0.0,2020,1,16,Thursday,1
2020-01-17,5000,0,0,0.0,2020,1,17,Friday,1
2020-01-18,5600,0,0,0.0,2020,1,18,Saturday,1
2020-01-19,5100,0,0,0.0,2020,1,19,Sunday,1
2020-01-20,4500,0,0,0.0,2020,1,20,Monday,1
2020-01-21,4000,0,0,0.0,2020,1,21,Tuesday,1
2020-01-22,4200,0,0,0.0,2020,1,22,Wednesday,1
2020-01-23,4600,0,0,0.0,2020,1,23,Thursday,1
2020-01-24,5800,0,0,0.0,2020,1,24,Friday,1
2020-01-25,6900,0,0,0.0,2020,1,25,Saturday,1
2020-01-26,5600,0,0,0.0,2020,1,26,Sunday,1
2020-01-27,4000,0,0,0.0,2020,1,27,Monday,1
2020-01-28,4600,0,0,0.0,2020,1,28,Tuesday,1
2020-01-29,4400,0,0,0.0,2020,1,29,Wednesday,1
2020-01-30,3900,0,0,0.0,2020,1,30,Thursday,1
2020-01-31,5800,0,0,0.0,2020,1,31,Friday,1
2020-02-01,7800,0,0,0.0,2020,2,1,Saturday,1
2020-02-02,6300,0,0,0.0,2020,2,2,Sunday,1
2020-02-03,300,0,0,0.0,2020,2,3,Monday,1
2020-02-04,0,0,0,0.0,2020,2,4,Tuesday,1
2020-02-05,500,0,0,0.0,2020,2,5,Wednesday,1
2020-02-06,2400,0,0,0.0,2020,2,6,Thursday,1
2020-02-07,100,0,0,0.0,2020,2,7,Friday,1
2020-02-08,600,0,0,0.0,2020,2,8,Saturday,1
2020-02-09,300,0,0,0.0,2020,2,9,Sunday,1
2020-02-10,300,0,0,0.0,2020,2,10,Monday,1
2020-02-11,400,0,0,0.0,2020,2,11,Tuesday,1
2020-02-12,700,0,0,0.0,2020,2,12,Wednesday,1
2020-02-13,900,0,0,0.0,2020,2,13,Thursday,1
2020-02-14,4000,0,0,0.0,2020,2,14,Friday,1
2020-02-15,4300,0,0,0.0,2020,2,15,Saturday,1
2020-02-16,4500,0,0,0.0,2020,2,16,Sunday,1
2020-02-17,3000,0,0,0.0,2020,2,17,Monday,1
2020-02-18,3000,0,0,0.0,2020,2,18,Tuesday,1
2020-02-19,1400,0,0,0.0,2020,2,19,Wednesday,1
2020-02-20,2500,0,0,0.0,2020,2,20,Thursday,1
2020-02-21,5400,0,0,0.0,2020,2,21,Friday,1
2020-02-22,7300,0,0,0.0,2020,2,22,Saturday,1
2020-02-23,3200,0,0,0.0,2020,2,23,Sunday,1
2020-02-24,3300,0,0,0.0,2020,2,24,Monday,1
2020-02-25,1600,0,0,0.0,2020,2,25,Tuesday,1
2020-02-26,4100,0,0,0.0,2020,2,26,Wednesday,1
2020-02-27,4300,0,0,0.0,2020,2,27,Thursday,1
2020-02-28,6700,0,0,0.0,2020,2,28,Friday,1
2020-02-29,7500,0,0,0.0,2020,2,29,Saturday,1
2020-03-01,3700,0,0,0.0,2020,3,1,Sunday,1
2020-03-02,3600,0,0,0.0,2020,3,2,Monday,1
2020-03-03,5200,0,0,0.0,2020,3,3,Tuesday,1
2020-03-04,5400,0,0,0.0,2020,3,4,Wednesday,1
2020-03-05,5300,0,0,0.0,2020,3,5,Thursday,1
2020-03-06,7800,0,0,0.0,2020,3,6,Friday,1
2020-03-07,10300,0,0,0.0,2020,3,7,Saturday,1
2020-03-08,7200,0,0,0.0,2020,3,8,Sunday,1
2020-03-09,6800,0,0,0.0,2020,3,9,Monday,1
2020-03-10,6400,0,0,0.0,2020,3,10,Tuesday,1
2020-03-11,8700,0,0,0.0,2020,3,11,Wednesday,1
